id,en,hu
816,"""I should like balls infinitely better,"" she replied, ""if they were carried on in a different manner; but there is something insufferably tedious in the usual process of such a meeting.","Mennyivel jobban szeretném a bálokat, ha másképpen volnának rendezve. Van abban valami kibírhatatlanul unalmas, ahogyan ezek az összejövetelek rendszerint lefolynak."
86,"""What can be the meaning of that emphatic exclamation?"" cried he. ""Do you consider the forms of introduction, and the stress that is laid on them, as nonsense?",Miért e heves tiltakozás? - kérdezte Mr. Bennet. - Talán ostobaságnak tartja a bemutatkozás formaságait és jelentőségét?
432,"Jane was therefore obliged to go on horseback, and her mother attended her to the door with many cheerful prognostics of a bad day.","Jane-nek tehát lóháton kellett látogatóba mennie. Anyja a kapuig kísérte, és vidáman jósolgatta, hogy rossz idő lesz."
184,"""But I can assure you,"" she added, ""that Lizzy does not lose much by not suiting _his_ fancy; for he is a most disagreeable, horrid man, not at all worth pleasing.","De biztosíthatom - tette hozzá -, Lizzy nem sokat veszít azzal, hogy nem nyerte meg Mr. Darcy tetszését: végtelenül kellemetlen, szörnyű ember, nem érdemes a kedvében járni."
978,"She had always spoken to him as she would to any other gentleman; she made not the smallest objection to his joining in the society of the neighbourhood nor to his leaving the parish occasionally for a week or two, to visit his relations.","Mindig úgy beszélt vele, mint bármely más úriemberrel, soha egy szóval sem kifogásolta, ha részt akart venni a környék társadalmi életében, vagy időnként el akart utazni egy-két hétre, hogy meglátogassa rokonait."
534,"""Neglect!",Elhanyagolja!
294,"""Perhaps he must, if he sees enough of her.","Talán rá is jön, ha elég sokszor látja."
892,Elizabeth took leave of the whole party in the liveliest of spirits.,Elizabeth kitűnő hangulatban köszönt el az egész társaságtól.
425,"""Oh! but the gentlemen will have Mr. Bingley's chaise to go to Meryton, and the Hursts have no horses to theirs.""","Ó, de Mr. Bingley hintóján bizonyára az urak mentek Merytonba, Hurstéknek pedig nincs lovuk, amit befogathatnának."
713,"""Nothing is more deceitful,"" said Darcy, ""than the appearance of humility. It is often only carelessness of opinion, and sometimes an indirect boast.""","Nincs megtévesztőbb, mint a látszólagos szerénység - mondta Darcy. - Gyakran ingadozó véleményt takar, néha pedig nem egyéb, mint rejtett dicsekvés."
260,"""Aye--because she asked him at last how he liked Netherfield, and he could not help answering her; but she said he seemed quite angry at being spoke to.""","Igen, mert Mrs. Long megkérdezte tőle, hogy tetszik neki Netherfield, és ő nem térhetett ki a válasz elől... de Mrs. Long szerint nagyon rossz néven vette, hogy szólt hozzá."
237,"Miss Bennet was therefore established as a sweet girl, and their brother felt authorized by such commendation to think of her as he chose.","Mivel Jane így bájos teremtésnek minősült, Mr. Bingley e határozat alapján feljogosítva érezte magát, hogy úgy vélekedjék a leányról, ahogy jólesik."
559,"""Yes, I do comprehend a great deal in it.""","Igen, elég sokat."
583,"The note was immediately dispatched, and its contents as quickly complied with.","A levelet rögtön elküldték, s a benne foglalt kérésnek éppoly gyorsan eleget tettek."
445,"She will be taken good care of. As long as she stays there, it is all very well.","Majd vigyáznak rá - addig jó neki, amíg ott van."
867,"My good opinion once lost, is lost forever.""","Ha valaki elveszti megbecsülésemet, többé vissza nem nyeri."
800,"When tea was over, Mr. Hurst reminded his sister-in-law of the card-table--but in vain.","Tea után Mr. Hurst célozgatni kezdett sógornőjének a kártyaasztalra, de hiába."
599,I do not know a place in the country that is equal to Netherfield.,"Nincs még egy hely ezen a világon, amely felvehetné a versenyt Netherfielddel."
849,"Follies and nonsense, whims and inconsistencies, _do_ divert me, I own, and I laugh at them whenever I can.","A dőre és ostoba viselkedés, a hóbort és a következetlenség, bevallom, valóban mulattat, és az ilyesmin nevetek is, amikor csak lehet."
265,"""I do not mind his not talking to Mrs. Long,"" said Miss Lucas, ""but I wish he had danced with Eliza.""","Mit bánom én, hogy nem állt szóba Mrs. Longgal; csak azt sajnálom, hogy Elizával nem táncolt - mondta Miss Lucas."
995,"I do not remember her name among the ladies at court.""","Nem emlékszem, hogy láttam volna nevét az ott megjelent hölgyek között."
529,"""I am astonished,"" said Miss Bingley, ""that my father should have left so small a collection of books.","Nagyon meglep - jelentette ki Miss Bingley -, hogy apám ilyen kicsiny könyvgyűjteményt hagyott ránk."
55,"Mr. Bennet was so odd a mixture of quick parts, sarcastic humour, reserve, and caprice, that the experience of three-and-twenty years had been insufficient to make his wife understand his character. _Her_ mind was less difficult to develop.","Mr. Bennet alkatában oly különös módon keveredett a fürge elme, a gunyoros modor, a tartózkodás és a szeszély, hogy felesége huszonhárom évi tapasztalat után sem értette meg jellemét."
120,Mrs. Bennet was quite disconcerted.,Mrs. Bennetet egészen lesújtotta a válasz.
215,"Miss Bingley is to live with her brother, and keep his house; and I am much mistaken if we shall not find a very charming neighbour in her.""","Miss Bingley az öccsénél fog lakni, ő vezeti majd a házat. Nagyon tévednék, ha nem bizonyulna igen bájos és kellemes szomszédnak."
25,"""Design!",Ezzel a szándékkal!
72,"""Don't keep coughing so, Kitty, for Heaven's sake!","Ne köhögj már annyit, Kitty, az isten szerelmére!"
44,"But you are always giving _her_ the preference.""",Persze magának mindig Lizzy volt a kedvence.
247,That the Miss Lucases and the Miss Bennets should meet to talk over a ball was absolutely necessary; and the morning after the assembly brought the former to Longbourn to hear and to communicate.,"Feltétlenül szükséges volt, hogy egy-egy bál után a Lucas és a Bennet kisasszonyok összeüljenek, és megbeszéljék a történteket. A Lucas lányok most is mindjárt másnap délelőtt megjelentek Longbournban, hogy minden eseményt sorra vehessenek."
721,"""I dare say you believed it; but I am by no means convinced that you would be gone with such celerity.","Persze hogy elhitted, amit magadról mondtál; de én távolról sem vagyok arról meggyőződve, hogy valóban ily hirtelen elhatároznád magad."
281,The ladies of Longbourn soon waited on those of Netherfield. The visit was soon returned in due form.,"A longbourni hölgyek rövidesen meglátogatták a netherfieldieket, és azok illő formában viszonozták a látogatást."
893,They were not welcomed home very cordially by their mother.,"Nem mondhatni, hogy anyjuk kitörő örömmel fogadta volna őket otthon."
914,This roused a general astonishment; and he had the pleasure of being eagerly questioned by his wife and his five daughters at once.,"E szavakat általános meglepetés követte, s Mr. Bennet élvezte, hogy felesége és öt leánya egyszerre rohanják meg kérdéseikkel."
810,"When I have a house of my own, I shall be miserable if I have not an excellent library.""","Ha majd saját házam lesz, szerencsétlen lennék egy kitűnő könyvtár nélkül."
244,"By nature inoffensive, friendly, and obliging, his presentation at St. James's had made him courteous.","Természettől fogva barátságos és előzékeny ember volt, a légynek sem ártott; a finom modort azután sajátította el, hogy az udvarnál bemutatták."
822,"""Miss Eliza Bennet, let me persuade you to follow my example, and take a turn about the room.","Miss Eliza Bennet, hallgasson rám, és kövesse példámat: járjon egyet a szobában."
321,"""But if he does it any more I shall certainly let him know that I see what he is about.","Ha továbbra is így viselkedik, okvetlenül tudomására hozom, hogy hallgatózása nem kerülte el figyelmemet."
643,It is a pity they are not handsome!,"Kár, hogy nem szépek."
158,"Jane was as much gratified by this as her mother could be, though in a quieter way.","Jane éppúgy örült ennek, mint az édesanyja, de a maga nyugodt módján."
977,"Lady Catherine was reckoned proud by many people he knew, but _he_ had never seen anything but affability in her.","Lady Catherine-t sokan gőgösnek tartják, de iránta mindig nyájasnak mutatkozott."
429,"""They are wanted in the farm much oftener than I can get them.""","Sokkal gyakrabban van szükségem a lovakra a gazdaságban, mint ahogy megkaphatom őket."
941,"""No, my dear, I think not.","Nem, szívem, nem gondolom."
462,"That she should have walked three miles so early in the day, in such dirty weather, and by herself, was almost incredible to Mrs. Hurst and Miss Bingley; and Elizabeth was convinced that they held her in contempt for it.","Mrs. Hurst és Miss Bingley alig akarták elhinni, hogy ilyen korán, ilyen komisz időben már három mérföldet gyalogolt, méghozzá teljesen egyedül. Elizabeth érezte, hogy emiatt megvetik."
309,"You know it is not sound, and that you would never act in this way yourself.""","Magad is tudod, hogy nem érnek semmit, s hogy te sem rendeznéd be szerintük az életedet."
697,He was silent.,Darcy hallgatott.
60,Mr. Bennet was among the earliest of those who waited on Mr. Bingley.,Mr. Bennet az elsők között tette tiszteletét Mr. Bingleynél.
884,"Miss Bingley was then sorry that she had proposed the delay, for her jealousy and dislike of one sister much exceeded her affection for the other.","Miss Bingley tüstént megbánta, hogy maga marasztalta vendégeit, mert féltékenysége és ellenszenve az egyik nővérrel szemben messze felülmúlta a másik iránt táplált baráti érzelmeit."
595,Mrs. Bennet was profuse in her acknowledgments.,Mrs. Bennet túláradó szavakkal mondott köszönetet.
767,"Miss Bingley saw, or suspected enough to be jealous; and her great anxiety for the recovery of her dear friend Jane received some assistance from her desire of getting rid of Elizabeth.","Miss Bingley eleget látott vagy sejtett ahhoz, hogy elfogja a féltékenység; s kedves barátnője, Jane felgyógyulását türelmetlenül várta, annál is inkább, mert meg akart szabadulni Elizától."
649,It is what everybody says. I do not trust my own partiality.,Mindenki ezt mondja; a magam elfogult véleményére nem sokat adnék.
650,"When she was only fifteen, there was a man at my brother Gardiner's in town so much in love with her that my sister-in-law was sure he would make her an offer before we came away. But, however, he did not.","Mikor még csak tizenöt éves volt, Gardiner bátyáméknál voltunk látogatóban Londonban; egy úriember akkor úgy beleszeretett, hogy a sógornőm már biztosra vette, hogy mire hazautazunk, meg is kéri a kezét."
865,My feelings are not puffed about with every attempt to move them.,Az én érzéseimet nem irányíthatja mindenki kénye-kedve szerint.
668,His answer to this sudden attack was delightful to their mother's ear:,A leány anyja nagy elragadtatással hallotta Bingley válaszát erre a nem várt támadásra.
298,"""Your plan is a good one,"" replied Elizabeth, ""where nothing is in question but the desire of being well married, and if I were determined to get a rich husband, or any husband, I dare say I should adopt it.","Nem is rossz terv - felelte Elizabeth -, ha csak arról van szó, hogy valaki jól kíván férjhez menni; magam is talán ezt tenném, ha gazdag férjet vagy akármilyen férjet akarnék fogni. De Jane nem így érez, cselekedeteit nem irányítja ilyen szándék."
689,"How odious I should think them!""",Borzasztó lehet!
314,"Though he had detected with a critical eye more than one failure of perfect symmetry in her form, he was forced to acknowledge her figure to be light and pleasing; and in spite of his asserting that her manners were not those of the fashionable world, he was caught by their easy playfulness.","Bár kritikus szemmel nézte, és látta, hogy Elizabeth alakja távolról sem tökéletesen arányos, mégis kénytelen volt elismerni, hogy termete könnyed és kecses. Hiába állapította meg, hogy modora nem az előkelő világé, közvetlen játékossága őt is megragadta."
310,"Occupied in observing Mr. Bingley's attentions to her sister, Elizabeth was far from suspecting that she was herself becoming an object of some interest in the eyes of his friend.","Elizát lekötötte Mr. Bingley figyelmessége Jane iránt, s közben nem gyanította, hogy ő maga is bizonyos érdeklődést ébresztett Bingley barátjában."
361,"Elizabeth looked archly, and turned away.","Elizának pajkosan villant meg a szeme, és elfordult."
479,Chapter 8,8. FEJEZET
110,Her report was highly favourable.,Lady Lucas igen kedvező véleményt adott.
989,"Is she handsome?""",Csinos?
486,"Miss Bingley was engrossed by Mr. Darcy, her sister scarcely less so; and as for Mr. Hurst, by whom Elizabeth sat, he was an indolent man, who lived only to eat, drink, and play at cards; who, when he found her to prefer a plain dish to a ragout, had nothing to say to her.","Miss Bingley kizárólag Darcyval foglalkozott, nővére is szinte csak vele törődött, Mr. Hurst pedig, Elizabeth szomszédja, tunya, közönyös ember volt, s csak az evésnek, az ivásnak és a kártyázásnak élt. Mikor megtudta, hogy szomszédnője az egyszerű ételt jobban szereti a pástétomnál, többé szóra se méltatta."
363,"""I can guess the subject of your reverie.""","Hadd találjam ki, min tűnődik!"
254,"""Upon my word! Well, that is very decided indeed--that does seem as if--but, however, it may all come to nothing, you know.""","Szavamra, ez valóban határozott válasz volt... úgy hangzik, mintha... de azért lehet, hogy nem lesz az egészből semmi... az ember sohasem tudhatja."
259,"""Are you quite sure, ma'am?--is not there a little mistake?"" said Jane. ""I certainly saw Mr. Darcy speaking to her.""","Egészen bizonyos ebben, mama? Nincs itt valami tévedés? - kérdezte Jane. - Én magam láttam, hogy Mr. Darcy beszélt vele."
802,"She assured him that no one intended to play, and the silence of the whole party on the subject seemed to justify her.","Sógornője kijelentette, hogy senki sem kíván kártyázni, s a jelenlevők hallgatása igazolni látszott szavait."
677,"Mrs. Hurst and Miss Bingley had spent some hours of the morning with the invalid, who continued, though slowly, to mend; and in the evening Elizabeth joined their party in the drawing-room.","Mrs. Hurst és Miss Bingley délelőtt néhány órát a betegnél töltött. Állapota lassan javult, este pedig Elizabeth lement hozzájuk a szalonba."
494,Very nonsensical to come at all!,"És micsoda őrültség, hogy egyáltalán eljött."
670,"But you would not wish to be dancing when she is ill.""","De amíg ő beteg, bizonyára maga sem kíván táncolni."
377,"""That is exactly the question which I expected you to ask.","Mindjárt gondoltam, hogy ezt fogja kérdezni."
526,He immediately offered to fetch her others--all that his library afforded.,"Bingley rögtön ajánlkozott, hogy hoz még néhányat, amit csak a könyvtárában talál."
845,"I dearly love a laugh.""",Nagyon szeretek nevetni.
137,"""Come, Darcy,"" said he, ""I must have you dance.","Gyere, Darcy - mondta Mr. Bingley -, ne húzódozz a tánctól."
355,"""Indeed, sir, I have not the least intention of dancing.","Nem, uram, egyáltalán nem szándékozom táncolni."
365,"""You are considering how insupportable it would be to pass many evenings in this manner--in such society; and indeed I am quite of your opinion.","Azon gondolkozik, milyen kibírhatatlan volna, ha sok estét így kellene töltenie, ilyen társaságban. Higgye el, teljesen igazat adok magának."
942,I have great hopes of finding him quite the reverse.,"Minden reményem, hogy éppen az ellenkezője."
749,"Mr. Darcy took her advice, and did finish his letter.","Darcy meg is fogadta a tanácsot, és folytatta a levélírást."
948,"As for their mother, Mr. Collins's letter had done away much of her ill-will, and she was preparing to see him with a degree of composure which astonished her husband and daughters.","Ami anyjukat illeti. Mr. Collins levele lényegesen enyhítette ingerültségét, s most olyan lelki nyugalommal nézett a látogatás elé, amely egyaránt meglepte férjét és leányait."
829,"She was dying to know what could be his meaning?""--and asked Elizabeth whether she could at all understand him?","Miss Bingley égett a vágytól, hogy ezt megtudja, s Elizától kérdezte, érti-e Mr. Darcy megjegyzését."
656,"""Of a fine, stout, healthy love it may.","Talán akkor, ha a szerelem erős, izmos, egészséges."
199,What could be more natural than his asking you again?,"Mi sem természetesebb, mint hogy újból felkért."
213,"And so you like this man's sisters, too, do you? Their manners are not equal to his.""","Neked persze Mr. Bingley nővérei is tetszenek, pedig a modoruk nem olyan kellemes, mint a fivérüké."
408,"""Mamma,"" cried Lydia, ""my aunt says that Colonel Forster and Captain Carter do not go so often to Miss Watson's as they did when they first came; she sees them now very often standing in Clarke's library.""","Mama! - kiáltott fel Lydia. - A néni azt meséli, hogy Forster ezredes és Carter kapitány már nem jár oly gyakran Miss Watsonhoz, mint eleinte: mostanában sokszor látja őket Clarke könyvesboltjában vásárolni."
332,"After a song or two, and before she could reply to the entreaties of several that she would sing again, she was eagerly succeeded at the instrument by her sister Mary, who having, in consequence of being the only plain one in the family, worked hard for knowledge and accomplishments, was always impatient for display.","Egy-két dalt elénekelt, de még mielőtt újrázhatott volna, máris ott termett a zongora mellett Mary húga, és sietve elfoglalta a helyét. Ő volt az egyetlen csúnya lány a családban, s ezért nagy igyekezettel képezte magát, és alig várta, hogy minden alkalommal fitogtathassa tudását."
208,"""I would not wish to be hasty in censuring anyone; but I always speak what I think.""","Nem akarok senkit sem elhamarkodva megítélni; de mindig csak azt mondom, amit gondolok."
613,"They have at least that advantage.""",Ez az előnyük feltétlenül megvan.
78,"""Then, my dear, you may have the advantage of your friend, and introduce Mr. Bingley to _her_.""","Így hát, drágám, lefőzheti a barátnőjét, mert maga mutathatja be neki Mr. Bingleyt."
29,"You and the girls may go, or you may send them by themselves, which perhaps will be still better, for as you are as handsome as any of them, Mr. Bingley may like you the best of the party.""","Maga és a lányok elmehetnek; talán még jobb, ha egyedül küldi el őket, mert maga van olyan csinos, mint akármelyik lánya, és Mr. Bingleynek esetleg maga tetszene legjobban az egész társaságban."
535,I am sure you neglect nothing that can add to the beauties of that noble place.,"Meg vagyok róla győződve, hogy ön semmit sem hanyagol el, amivel szebbé teheti azt a nemes kastélyt."
695,"""Thank you--but I always mend my own.""","Köszönöm, de mindig magam szoktam hegyezni a tollamat."
557,"I cannot boast of knowing more than half-a-dozen, in the whole range of my acquaintance, that are really accomplished.""","Én igazán nem dicsekedhetem azzal, hogy összes nőismerőseim között fél tucatnál többet tudnék, aki igazán művelt."
836,Tease him--laugh at him.,"Rajta, kínozza meg, és nevesse ki!"
596,"""I am sure,"" she added, ""if it was not for such good friends I do not know what would become of her, for she is very ill indeed, and suffers a vast deal, though with the greatest patience in the world, which is always the way with her, for she has, without exception, the sweetest temper I have ever met with.","Igazán nem tudom - tette hozzá végül -, mi történt volna vele, ha nem volnának ilyen jó barátai, mert valóban nagyon beteg, és roppant sokat szenved, bár angyali türelemmel viseli, mindig is ez volt a szokása; mondhatom, hozzá fogható jó természetű leány nincs az egész világon."
165,"""Oh! my dear Mr. Bennet,"" as she entered the room, ""we have had a most delightful evening, a most excellent ball.","Ó, drága Bennet! - nyitott be a felesége az ajtón. - Pompás esténk volt, nagyszerű volt a bál."
918,"""Oh! my dear,"" cried his wife, ""I cannot bear to hear that mentioned. Pray do not talk of that odious man.","Ó, drágám - kiáltott a felesége -, hallani sem bírom ezt; kérem, ne is beszéljen arról az utálatos emberről."
495,"Why must _she_ be scampering about the country, because her sister had a cold?","Azért kell rohangálnia a mezőkön, mert a nővére meghűlt?"
824,"Elizabeth was surprised, but agreed to it immediately.","Elizabeth meglepődött ugyan, de rögtön megfogadta a tanácsot."
65,"""We are not in a way to know _what_ Mr. Bingley likes,"" said her mother resentfully, ""since we are not to visit.""","Nem áll módunkban megtudni, mi tetszik Mr. Bingleynek - mondta Mrs. Bennet szemrehányóan -, hiszen nem látogatjuk meg."
141,"You know how I detest it, unless I am particularly acquainted with my partner.","Tudod, mennyire utálom a táncot, ha nem ismerem jól a páromat."
925,I hate such false friends.,"Gyűlölöm az ilyen hamis, álszent barátokat."
827,"He was directly invited to join their party, but he declined it, observing that he could imagine but two motives for their choosing to walk up and down the room together, with either of which motives his joining them would interfere.","Azonnal hívták, hogy csatlakozzék hozzájuk, de Darcy elhárította ezt azzal a megjegyzéssel, hogy az együttes fel-alá sétálásra csak két okot tud találni, s az ő jelenléte mindkét ok működését megzavarná."
655,"""I have been used to consider poetry as the _food_ of love,"" said Darcy.","Én mindig úgy tudtam, hogy a költészet táplálja a szerelmet - jegyezte meg Darcy."
331,"Her performance was pleasing, though by no means capital.","Elizabeth előadása élvezetes volt, de távolról sem művészi."
664,"The two girls had been whispering to each other during the whole visit, and the result of it was, that the youngest should tax Mr. Bingley with having promised on his first coming into the country to give a ball at Netherfield.","A két leány az egész látogatás alatt egymással suttogott, azzal az eredménnyel, hogy a legfiatalabbik most figyelmeztette Mr. Bingleyt: rögtön megérkezése után azt ígérte, hogy házibált rendez Netherfieldben."
249,"""Yes; but he seemed to like his second better.""","Igen, de a második partnere nyilván jobban tetszett neki."
907,"""A gentleman and a stranger!","Az nem lehet más, csak Mr. Bingley."
708,"""My style of writing is very different from yours.""","Az én stílusom egészen más, mint a tied."
305,Happiness in marriage is entirely a matter of chance.,A boldog házasság tisztán véletlen dolga.
734,"A regard for the requester would often make one readily yield to a request, without waiting for arguments to reason one into it.","Gyakran előfordul, hogy teljesítjük olyan ember kérését, akit szeretünk, s nem várunk arra, hogy érvekkel győzzön meg."
975,She had been graciously pleased to approve of both of the discourses which he had already had the honour of preaching before her.,"Mindkét szentbeszédét a legkegyesebben méltányolta - eddig ugyanis két ízben érte az a kitüntetés, hogy a lady előtt prédikálhatott."
49,"""You mistake me, my dear. I have a high respect for your nerves.","Téved, drágám; nagyon is tisztelem az idegeit."
896,"The evening conversation, when they were all assembled, had lost much of its animation, and almost all its sense by the absence of Jane and Elizabeth.","Az esti beszélgetés, amelyen az egész család találkozott, Jane és Elizabeth távollétében sokat veszített élénkségéből, és szinte teljesen értelmetlenné lett."
2,Jane Austen,Jane Austen
544,"""I think she will.","Azt hiszem, igen."
350,"""I had once had some thought of fixing in town myself--for I am fond of superior society; but I did not feel quite certain that the air of London would agree with Lady Lucas.""","Egy időben én is gondoltam arra, hogy a fővárosba költözöm, mert szeretem az előkelő társaságot; de kissé aggódtam, hogy Lady Lucasnak esetleg nem tesz jót a londoni levegő."
904,"I do not believe she often sees such at home.""","Nem hinném, hogy otthon gyakran kap ilyet."
536,"Charles, when you build _your_ house, I wish it may be half as delightful as Pemberley.""","Ha majd te építtetsz házat, Charles, megelégednék, ha feleolyan pompás lenne, mint Pemberley."
344,"Do you often dance at St. James's?""",Gyakran táncol az udvarnál?
994,"""Has she been presented?",Bemutatták már az udvarnál?
481,"To the civil inquiries which then poured in, and amongst which she had the pleasure of distinguishing the much superior solicitude of Mr. Bingley's, she could not make a very favourable answer.","A leány az udvarias kérdések záporában örömmel hallotta Mr. Bingley szívből jövő aggodalmas érdeklődését, de megnyugtató választ nem adhatott: Jane állapota egyáltalán nem javult."
575,"Elizabeth joined them again only to say that her sister was worse, and that she could not leave her.","Elizabeth később újra lejött, de csak azért, hogy megmondja: nővére rosszabbul van, s ezért nem hagyhatja egyedül."
33,"""In such cases, a woman has not often much beauty to think of.""",Ilyen esetben hiába is törődik vele már.
31,"I certainly _have_ had my share of beauty, but I do not pretend to be anything extraordinary now.","Nem mondom, voltam én is csinos, de most már nem tartom magam különös szépségnek."
231,"Bingley was sure of being liked wherever he appeared, Darcy was continually giving offense.","Bárhol jelent is meg, Bingley biztosra vehette, hogy megkedvelik, Darcy viszont folyton megsértette az embereket."
963,"At present I will not say more; but, perhaps, when we are better acquainted--""","A jelen pillanatban ennél többet nem akarok mondani, de talán ha majd jobban összeismerkedünk..."
192,"""He is just what a young man ought to be,"" said she, ""sensible, good-humoured, lively; and I never saw such happy manners!--so much ease, with such perfect good breeding!""","Minden fiatalember példát vehetne róla - mondta -, olyan értelmes, jókedvű, élénk. Senkiben sem láttam még ilyen vonzó modort, ilyen könnyed, tökéletes jólneveltséget!"
333,"Mary had neither genius nor taste; and though vanity had given her application, it had given her likewise a pedantic air and conceited manner, which would have injured a higher degree of excellence than she had reached.","Marynek nem volt sem tehetsége, sem ízlése. A hiúság szorgalomra ösztökélte, de egyúttal tudálékos és öntelt modort fejlesztett ki benne, s ez akkor is károsan hatott volna előadására, ha magasabb színvonalat ért volna el."
3,Chapter 1,I. KÖNYV 1. FEJEZET
204,"""Dear Lizzy!""",De kedves Lizzy!
514,"""If they had uncles enough to fill _all_ Cheapside,"" cried Bingley, ""it would not make them one jot less agreeable.""","Ha annyi nagybátyjuk volna, hogy az egész Cheapside-ot meg lehetne velük tölteni, attól még semmit sem veszítenének kedvességükből! - kiáltott fel Bingley."
799,"Elizabeth, at work in the opposite corner, saw it all with great delight.","Elizabeth a szoba másik sarkában kézimunkázott, s örömmel figyelte mindezt."
306,"If the dispositions of the parties are ever so well known to each other or ever so similar beforehand, it does not advance their felicity in the least.","Bármilyen jól ismerték a jövendő házastársak egymás természetét, bármennyire hasonló hajlamaik voltak a házasság előtt, ez cseppet sem mozdítja elő boldogságukat."
109,"They attacked him in various ways--with barefaced questions, ingenious suppositions, and distant surmises; but he eluded the skill of them all, and they were at last obliged to accept the second-hand intelligence of their neighbour, Lady Lucas.","Különféle módon ostromolták: leplezetlen kérdésekkel, agyafúrt feltevésekkel, távoli célzásokkal - de Mr. Bennet valamennyiük ügyességét kijátszotta, s végül kénytelenek voltak szomszédnőjük, Lady Lucas közvetett értesüléseivel megelégedni."
430,"""But if you have got them to-day,"" said Elizabeth, ""my mother's purpose will be answered.""","De ha ma megkapja, papa - mondta Elizabeth -, akkor anyám eléri a célját."
77,"""Aye, so it is,"" cried her mother, ""and Mrs. Long does not come back till the day before; so it will be impossible for her to introduce him, for she will not know him herself.""","Igen, akkor! - kiáltott Mrs. Bennet. - Mr. Long pedig csak előtte levő nap érkezik vissza; így hát be sem mutathatja Mr. Bingleyt, mert ő maga sem ismeri még akkor."
84,The girls stared at their father.,A leányok apjukra bámultak.
286,"""It may perhaps be pleasant,"" replied Charlotte, ""to be able to impose on the public in such a case; but it is sometimes a disadvantage to be so very guarded.","Ilyen esetben - felelte Charlotte - talán kellemes megtéveszteni a világot, de a túlzott óvatosság néha hátrányos is lehet."
82,One cannot know what a man really is by the end of a fortnight.,"De ha mi nem vállaljuk, lesz más, aki vállalja."
991,"Lady Catherine herself says that, in point of true beauty, Miss de Bourgh is far superior to the handsomest of her sex, because there is that in her features which marks the young lady of distinguished birth.","Lady Catherine maga mondja, hogy igazi szépség tekintetében Miss de Bourgh messze fölülmúlja nemének legszebb képviselőit, mert vonásaiban van valami, ami legott elárulja előkelő származását."
789,Jane was already so much recovered as to intend leaving her room for a couple of hours that evening.,"Jane már annyira rendbe jött, hogy este néhány órára el is akarta szobáját hagyni."
894,"Mrs. Bennet wondered at their coming, and thought them very wrong to give so much trouble, and was sure Jane would have caught cold again.","Csodálkozott, hogy már megjöttek, kifogásolta, hogy annyi alkalmatlanságot okoztak a kocsival, és biztosra vette, hogy Jane újra meghűlt."
398,"Catherine was disconcerted, and made no answer; but Lydia, with perfect indifference, continued to express her admiration of Captain Carter, and her hope of seeing him in the course of the day, as he was going the next morning to London.","Catherine zavarba jött, és nem válaszolt; Lydia viszont rá sem hederített apjára, hanem tovább rajongott Carter kapitányért, s azt a reményét fejezte ki, hogy a nap folyamán még találkozik vele, mert a kapitánynak másnap Londonba kell utaznia."
